,LOCATION,SUBJECT,MEASURE,2018,2019,2020,2021,2022
0,AUS,T_GDP,C,1946613.0,1979471.0,2080419.0,2309051.0,2451025.0
1,AUS,T_GDP,CPC,1323863.624,1337588.806,1430866.404,1595112.956,1694648.5
2,AUS,T_GDP,PCTUS,6.447474,6.255976,6.794085,6.84155,6.65541
3,AUS,T_GDP,VPVOB,1209288.995,1208673.644,1235702.154,1280404.774,1311764.9
4,AUS,T_GDPPOP,C,77918.43956,78037.310226,80971.264882,89713.343254,
5,AUS,T_GDPPOP,CPC,52991.214881,52732.185826,55690.254035,61974.774983,
6,AUS,T_GDPPOP,PCTUS,84.854353,81.514861,87.727628,88.306903,
7,AUS,T_GDPPOP,VPVOB,48405.056099,47649.922691,48094.334087,49747.447325,
8,AUS,T_POPTOT,PEHRS,24982.7,25365.7,25693.3,25738.1,
9,AUT,T_GDP,C,385274.09,397169.54,381042.48,406148.67,447652.7
10,AUT,T_GDP,CPC,503361.417,530169.037,510568.008,537014.574,622665.496
11,AUT,T_GDP,PCTUS,2.451468,2.47963,2.424295,2.303293,2.4454
12,AUT,T_GDP,VPVOB,460379.033,467364.772,437201.197,457123.804,479966.017
13,AUT,T_GDPPOP,C,43594.349756,44738.204547,42732.881417,45372.034023,49444.303065
14,AUT,T_GDPPOP,CPC,56956.110561,59719.611987,57258.818338,59991.43989,68774.881717
15,AUT,T_GDPPOP,PCTUS,91.203305,92.316217,90.198553,85.480879,
16,AUT,T_GDPPOP,VPVOB,52092.588383,52645.177089,49030.929325,51066.612598,53013.385613
17,AUT,T_POPTOT,PEHRS,8837.707,8877.637,8916.845,8951.52,9053.676
18,BEL,T_GDP,C,460050.8,478645.0,459826.3,502311.6,552446.4
19,BEL,T_GDP,CPC,600269.926,641098.699,629659.269,681853.013,773801.715
20,BEL,T_GDP,PCTUS,2.923432,2.998454,2.989768,2.924515,3.038959
21,BEL,T_GDP,VPVOB,545629.107,557855.882,527947.071,560330.637,577650.922
22,BEL,T_GDPPOP,C,40259.980747,41661.154147,39832.49307,43332.608696,47245.907808
23,BEL,T_GDPPOP,CPC,52530.841516,55801.08791,54544.288721,58820.998361,66176.491491
24,BEL,T_GDPPOP,PCTUS,84.117161,86.258854,85.922415,83.813135,
25,BEL,T_GDPPOP,VPVOB,47749.112365,48555.651667,45733.460759,48337.701605,49401.430086
26,BEL,T_POPTOT,PEHRS,11427.0,11489.0,11544.0,11592.0,11693.0
27,BRA,T_GDP,C,7004141.0,7389131.0,7609597.0,8898727.5,9915316.4
28,BRA,T_GDP,CPC,3145953.2,3241317.4,3213097.7,3522670.2,3918992.1
29,BRA,T_GDP,PCTUS,15.321406,15.15982,15.256531,15.108977,15.391096
30,BRA,T_GDP,VPVOB,3007268.4,3043980.5,2944236.6,3091120.1,3180779.0
31,BRA,T_GDPPOP,C,33593.824118,35161.703973,35935.73768,41802.011046,
32,BRA,T_GDPPOP,CPC,15088.873637,15424.038754,15173.607234,16547.837723,
33,BRA,T_GDPPOP,PCTUS,24.161677,23.842903,23.902649,23.578759,
34,BRA,T_GDPPOP,VPVOB,14423.70245,14484.997118,13903.931329,14520.619556,
35,BRA,T_POPTOT,PEHRS,208494.9,210147.125,211755.692,212877.9759,
36,,T_GDP,CPC,41897610.271,44546421.47,44592107.636,,
37,,T_GDP,PCTUS,204.049539,208.346062,211.733637,,
38,,T_GDP,VPVOB,40838786.129,42829163.156,42465387.609,,
39,,T_GDPPOP,CPC,12288.94656,12974.403236,12912.756683,,
40,,T_GDPPOP,PCTUS,19.678179,20.056189,20.341181,,
41,,T_GDPPOP,VPVOB,11978.3839,12474.241807,12296.911869,,
42,,T_POPTOT,PEHRS,3409373.6243,3433408.1236,3453337.5583,,
43,CAN,T_GDP,C,2235675.0,2313563.0,2209681.0,2509618.0,2785119.0
44,CAN,T_GDP,CPC,1852987.755,1873760.081,1794940.001,2026899.115,2221280.61
45,CAN,T_GDP,PCTUS,9.024412,8.763679,8.52279,8.693511,8.723657
46,CAN,T_GDP,VPVOB,1705881.639,1738092.499,1649895.471,1732584.947,1791427.035
47,CAN,T_GDPPOP,C,60317.548451,61528.91807,58138.536296,65651.266302,71541.895996
48,CAN,T_GDPPOP,CPC,49992.811429,49832.414551,47226.357287,53023.40578,57058.469091
49,CAN,T_GDPPOP,PCTUS,80.053037,77.032315,74.394639,75.552235,
50,CAN,T_GDPPOP,VPVOB,46023.951787,46224.352209,43410.115635,45324.187086,46016.736312
51,CAN,T_POPTOT,PEHRS,37065.084,37601.23,38007.166,38226.498,38929.902
52,CHE,T_GDP,C,709521.556,716878.59,694661.736,731661.67,771223.973
53,CHE,T_GDP,CPC,601868.008,623154.669,611675.806,661282.472,723517.334
54,CHE,T_GDP,PCTUS,2.931215,2.914529,2.904378,2.836286,2.841477
55,CHE,T_GDP,VPVOB,575249.448,581818.695,567997.224,591976.456,604166.628
56,CHE,T_GDPPOP,C,83332.654791,83598.27201,80417.729387,84055.126141,87822.042112
57,CHE,T_GDPPOP,CPC,70688.844498,72668.725569,70810.837693,75969.787509,82389.515886
58,CHE,T_GDPPOP,PCTUS,113.193407,112.333312,111.54675,108.248181,
59,CHE,T_GDPPOP,VPVOB,67562.519085,67848.36122,65754.373223,68007.738715,68798.622585
60,CHE,T_POPTOT,PEHRS,8514.328,8575.28,8638.1665,8704.5455,8781.6675
61,CHL,T_GDP,C,189434870.0,195816480.0,200343720.0,240633270.0,262593355.8
62,CHL,T_GDP,CPC,478093.911,487574.468,478780.35,552981.397,600128.5
63,CHL,T_GDP,PCTUS,2.328411,2.280413,2.27336,2.371776,2.356891
64,CHL,T_GDP,VPVOB,434896.92,438247.971,412048.51,460127.272,470682.5
65,CHL,T_GDPPOP,C,10102436.057,10248299.909,10296049.349,12228317.463,
66,CHL,T_GDPPOP,CPC,25496.431386,25517.818399,24605.443638,28100.985677,
67,CHL,T_GDPPOP,PCTUS,40.827205,39.446145,38.760412,40.040662,
68,CHL,T_GDPPOP,VPVOB,23192.764488,22936.254607,21175.96595,23382.395773,
69,CHL,T_POPTOT,PEHRS,18751.405001,19107.216,19458.31,19678.363007,
70,CHN,T_GDP,C,91928110.0,98651520.0,101356700.0,114923700.0,121020720.0
71,CHN,T_GDP,CPC,21736534.82,23441904.021,24255795.538,27312555.458,
72,CHN,T_GDP,PCTUS,105.861167,109.639074,115.172125,117.145445,
73,CHN,T_GDP,VPVOB,21709334.096,23035800.532,23542588.144,25449537.783,26213023.917
74,CHN,T_GDPPOP,C,65410.172121,69961.647566,71776.265473,81356.151777,
75,CHN,T_GDPPOP,CPC,15466.329982,16624.520609,17176.865662,19334.953602,
76,CHN,T_GDPPOP,PCTUS,24.766094,25.698641,27.058337,27.550078,
77,CHN,T_GDPPOP,VPVOB,15446.975684,16336.520291,16671.804198,18016.096406,
78,CHN,T_POPTOT,PEHRS,1405410.0,1410080.0,1412120.0,1412600.0,
79,COL,T_GDP,C,987791000.0,1060068000.0,998719000.0,1177224700.0,1463873100.0
80,COL,T_GDP,CPC,747103.675,796590.015,769962.766,869840.596,1016560.6
81,COL,T_GDP,PCTUS,3.638541,3.725695,3.655961,3.730807,3.992348
82,COL,T_GDP,VPVOB,662368.976,683477.718,635305.175,703136.784,756493.6
83,COL,T_GDPPOP,C,20909567.561,21937218.89,20274041.998,23572132.915,
84,COL,T_GDPPOP,CPC,15814.696396,16484.762793,15630.279843,17417.234062,
85,COL,T_GDPPOP,PCTUS,25.32393,25.482599,24.622035,24.817549,
86,COL,T_GDPPOP,VPVOB,14021.031629,14143.998598,12896.724504,14079.243946,
87,COL,T_POPTOT,PEHRS,47241.101333,48322.80725,49260.97125,49941.37375,
88,CRI,T_GDP,C,36014718.708,37832149.784,36495246.082,40112924.791,44251689.7
89,CRI,T_GDP,CPC,106583.345,114952.28,111138.964,116703.599,127686.5
90,CRI,T_GDP,PCTUS,0.519082,0.537638,0.527713,0.50055,0.501464
91,CRI,T_GDP,VPVOB,94937.034,97232.148,93077.074,100319.213,104638.0
92,CRI,T_GDPPOP,C,7201607.1233,7483752.4532,7143969.3584,7772241.0732,
93,CRI,T_GDPPOP,CPC,21312.71336,22739.241951,21755.528146,22612.375195,
94,CRI,T_GDPPOP,PCTUS,34.127855,35.150945,34.271003,32.220025,
95,CRI,T_GDPPOP,VPVOB,18983.883391,19233.940717,18219.900837,19437.752589,
96,CRI,T_POPTOT,PEHRS,5000.928,5055.238,5108.539,5161.05,
97,,T_GDP,C,5410761.0,5791498.0,5709131.0,6108717.0,6795101.0
98,,T_GDP,CPC,437355.916,471832.671,458157.819,479378.76,533088.781
99,,T_GDP,PCTUS,2.130009,2.206787,2.175439,2.056089,2.093605
100,,T_GDP,VPVOB,397936.159,409993.142,387431.35,401195.709,410992.602
101,,T_GDPPOP,C,509179.56454,542817.70804,533555.91578,571051.48077,635626.4499
102,,T_GDPPOP,CPC,41157.370443,44223.295778,42817.867498,44813.002591,49866.121099
103,,T_GDPPOP,PCTUS,65.904925,68.361585,67.450042,63.853358,
104,,T_GDPPOP,VPVOB,37447.774935,38427.283865,36208.012875,37504.340716,38445.016276
105,,T_POPTOT,PEHRS,10626.43,10669.324,10700.155,10697.314,10690.4
106,DEU,T_GDP,C,3365450.0,3473260.0,3405430.0,3601750.0,3867050.0
107,DEU,T_GDP,CPC,4576056.532,4769328.306,4697130.976,4891842.639,5371318.279
108,DEU,T_GDP,PCTUS,22.286288,22.306411,22.303064,20.981452,21.094831
109,DEU,T_GDP,VPVOB,4122426.809,4165984.532,4011976.886,4117371.008,4190874.653
110,DEU,T_GDPPOP,C,40593.563795,41799.670249,40949.844278,43292.345786,46149.485643
111,DEU,T_GDPPOP,CPC,55195.722047,57397.473987,56482.377268,58799.012441,64101.466442
112,DEU,T_GDPPOP,PCTUS,88.38441,88.726592,88.975443,83.781808,
113,DEU,T_GDPPOP,VPVOB,49724.106928,50136.407784,48243.49017,49490.011635,50014.018343
114,DEU,T_POPTOT,PEHRS,82906.0,83093.0,83161.0,83196.0,83794.0
115,DNK,T_GDP,C,2253316.249,2310954.835,2323919.331,2504177.717,2791643.612
116,DNK,T_GDP,CPC,333035.355,348345.911,354736.865,380007.666,441729.033
117,DNK,T_GDP,PCTUS,1.621947,1.629233,1.684373,1.629879,1.734807
118,DNK,T_GDP,VPVOB,301804.658,306312.071,300202.347,314779.295,326191.821
119,DNK,T_GDPPOP,C,388905.11719,397276.05897,398613.95043,427772.07328,472679.24348
120,DNK,T_GDPPOP,CPC,57479.35019,59884.117414,60846.803602,64914.189614,74793.266678
121,DNK,T_GDPPOP,PCTUS,92.041163,92.570514,95.850627,92.495229,
122,DNK,T_GDPPOP,VPVOB,52089.171212,52658.083376,51492.683877,53771.659549,55230.582628
123,DNK,T_POPTOT,PEHRS,5794.0,5817.0,5830.0,5854.0,5906.0
124,EA19,T_GDP,C,11599255.358,11986272.832,11456917.739,12318505.137,13338549.692
125,EA19,T_GDP,CPC,16259659.385,17236467.348,16545535.12,17610961.754,19499796.552
126,EA19,T_GDP,PCTUS,79.187715,80.615905,78.562026,75.534637,76.581743
127,EA19,T_GDP,VPVOB,14824291.586,15058864.621,14141507.416,14896071.647,15411441.42
128,EA19,T_GDPPOP,CPC,47629.173366,50334.221875,48238.265757,51333.028282,56591.844916
129,EA19,T_GDPPOP,PCTUS,76.268164,77.808023,75.988676,73.143642,
130,EA19,T_GDPPOP,VPVOB,43424.572266,43975.149764,41229.358131,43419.574571,44726.718068
131,EA19,T_POPTOT,PEHRS,341380.25575,342440.326,342996.0605,343072.72225,344569.02017
132,ESP,T_GDP,C,1203859.0,1245513.0,1117989.0,1206842.0,1327108.0
133,ESP,T_GDP,CPC,1905450.021,2031924.567,1799328.046,1928019.184,2228929.044
134,ESP,T_GDP,PCTUS,9.279913,9.503423,8.543626,8.269408,8.753695
135,ESP,T_GDP,VPVOB,1760131.709,1795052.128,1591754.606,1679613.014,1771623.42
136,ESP,T_GDPPOP,C,25762.669688,26441.004864,23608.337626,25497.625315,27871.617187
137,ESP,T_GDPPOP,CPC,40776.768291,43135.741947,37996.030382,40734.338674,46811.455474
138,ESP,T_GDPPOP,PCTUS,65.29547,66.680415,59.854308,58.041732,
139,ESP,T_GDPPOP,VPVOB,37666.945902,38107.175154,33612.745883,35486.122712,37207.227868
140,ESP,T_POPTOT,PEHRS,46728.814,47105.358,47355.685,47331.545,47615.034
141,EST,T_GDP,C,25932.176,27764.725,27464.982,31444.913,36181.437
142,EST,T_GDP,CPC,48133.366,51758.554,52438.777,57864.708,63555.067
143,EST,T_GDP,PCTUS,0.234419,0.242078,0.248991,0.248186,0.2496
144,EST,T_GDP,VPVOB,43467.226,45092.772,44844.31,48437.894,47814.299
145,EST,T_GDPPOP,C,19658.499939,20957.356471,20667.626867,23641.582987,27167.401764
146,EST,T_GDPPOP,CPC,36488.637613,39068.367023,39460.614844,43505.074928,47721.322935
147,EST,T_GDPPOP,PCTUS,58.428925,60.392955,62.161436,61.989712,
148,EST,T_GDPPOP,VPVOB,32951.359719,34036.904636,33745.715406,36417.60722,35902.119394
149,EST,T_POPTOT,PEHRS,1319.133,1324.82,1328.889,1330.068,1331.796
150,,T_GDP,C,13533330.168,14018694.304,13461563.371,14530920.952,15810106.327
151,,T_GDP,CPC,19958436.656,21247314.045,20548660.17,21912110.491,24379357.922
152,,T_GDP,PCTUS,97.201482,99.374856,97.56979,93.982562,95.745292
153,,T_GDP,VPVOB,18187455.861,18516210.926,17470126.45,18417395.872,19065230.807
154,,T_GDPPOP,CPC,44673.311381,47448.235819,45843.543523,48924.776133,54305.164215
155,,T_GDPPOP,PCTUS,71.534969,73.346786,72.216323,69.71216,
156,,T_GDPPOP,VPVOB,40709.294666,41349.299052,38975.412296,41121.8705,42467.914581
157,,T_POPTOT,PEHRS,446764.20975,447799.8745,448234.5515,447873.49525,448932.58817
158,FIN,T_GDP,C,233462.0,239858.0,238038.0,250594.0,266679.0
159,FIN,T_GDP,CPC,273455.993,286082.927,289224.32,303129.453,332318.393
160,FIN,T_GDP,PCTUS,1.331784,1.338026,1.373304,1.300143,1.305117
161,FIN,T_GDP,VPVOB,249873.431,252933.753,246977.251,254501.369,259804.606
162,FIN,T_GDPPOP,C,42322.975962,43439.944943,43039.398268,45221.329965,47994.924771
163,FIN,T_GDPPOP,CPC,49573.255683,51811.599355,52294.342488,54701.696833,59808.219891
164,FIN,T_GDPPOP,PCTUS,79.381206,80.091793,82.378124,77.943606,
165,FIN,T_GDPPOP,VPVOB,45298.109387,45808.054368,44655.694758,45926.440314,46757.721906
166,FIN,T_POPTOT,PEHRS,5516.2,5521.6,5530.7,5541.5,5556.4
167,FRA,T_GDP,C,2363306.0,2437635.0,2310469.0,2500870.0,2642713.0
168,FRA,T_GDP,CPC,3125379.86,3403158.941,3252531.255,3479874.481,3814783.882
169,FRA,T_GDP,PCTUS,15.22121,15.916761,15.44377,14.925423,14.981838
170,FRA,T_GDP,VPVOB,2863681.468,2916458.311,2689424.091,2872751.081,2946362.27
171,FRA,T_GDPPOP,C,35038.414209,35973.480712,33975.486736,36660.509844,38585.384728
172,FRA,T_GDPPOP,CPC,46336.93398,50222.23283,47828.528542,51011.836947,55698.406804
173,FRA,T_GDPPOP,PCTUS,74.198913,77.634907,75.343226,72.685981,
174,FRA,T_GDPPOP,VPVOB,42456.989251,43039.73187,39548.027925,42111.952754,43018.86801
175,FRA,T_POPTOT,PEHRS,67449.0,67762.0,68004.0,68217.0,68490.0
176,,T_GDP,CPC,41168942.318,42809976.835,41709736.613,45212927.776,49546200.61
177,,T_GDP,PCTUS,200.500784,200.224615,198.047473,193.921384,194.583281
178,,T_GDP,VPVOB,38816860.834,39429466.46,37639108.063,39623718.74,40506880.75
179,,T_GDPPOP,CPC,53537.754546,55477.610761,53946.993542,58426.811547,
180,,T_GDPPOP,PCTUS,85.729522,85.758815,84.981509,83.251464,
181,,T_GDPPOP,VPVOB,50479.012833,51096.794591,48682.079641,51204.106027,
182,,T_POPTOT,PEHRS,768970.284,771662.23,773161.466,773838.698,
183,GBR,T_GDP,C,2157410.0,2238348.0,2109594.0,2270246.0,2482127.0
184,GBR,T_GDP,CPC,3137072.362,3294277.295,3077151.591,3355086.227,3740423.339
185,GBR,T_GDP,PCTUS,15.278155,15.407516,14.611027,14.390198,14.689801
186,GBR,T_GDP,VPVOB,2952604.145,2999973.029,2669050.25,2871830.568,2988008.509
187,GBR,T_GDPPOP,C,32473.508339,33509.70852,31448.457835,33707.680658,36614.403092
188,GBR,T_GDPPOP,CPC,47219.464778,49317.743237,45872.178277,49814.943015,55175.810049
189,GBR,T_GDPPOP,PCTUS,75.612102,76.236722,72.26143,70.980545,
190,GBR,T_GDPPOP,VPVOB,44442.834382,44911.79288,39788.468419,42639.76137,44076.772861
191,GBR,T_POPTOT,PEHRS,66436.0,66797.0,67081.0,67351.0,67791.0
192,GRC,T_GDP,C,179557.686,183351.227,165405.918,181674.606,208030.156
193,GRC,T_GDP,CPC,317881.481,334040.54,304016.729,333014.632,393631.536
194,GRC,T_GDP,PCTUS,1.548145,1.562326,1.443542,1.428323,1.545913
195,GRC,T_GDP,VPVOB,296167.259,301748.048,274578.507,297737.633,315345.035
196,GRC,T_GDPPOP,C,16729.672641,17101.161062,15460.534332,17074.024692,19666.273524
197,GRC,T_GDPPOP,CPC,29617.51866,31155.946809,28416.523018,31297.164611,37212.227321
198,GRC,T_GDPPOP,PCTUS,47.426265,48.161718,44.763922,44.594848,
199,GRC,T_GDPPOP,VPVOB,27594.370368,28144.027468,25664.924724,27981.784629,29811.359238
200,GRC,T_POPTOT,PEHRS,10732.887,10721.566,10698.59,10640.409,10578.016
201,HUN,T_GDP,C,43386710.0,47674187.0,48425421.0,55255130.0,66615877.0
202,HUN,T_GDP,CPC,311925.167,338460.936,333066.376,356227.581,411726.009
203,HUN,T_GDP,PCTUS,1.519136,1.583,1.581476,1.527885,1.616976
204,HUN,T_GDP,VPVOB,296178.193,310565.915,296443.663,317542.494,332065.24
205,HUN,T_GDPPOP,C,4438282.0265,4879080.8566,4966633.9458,5690602.5001,6879337.2997
206,HUN,T_GDPPOP,CPC,31908.661945,34638.834503,34160.131912,36687.083408,42518.423813
207,HUN,T_GDPPOP,PCTUS,51.095052,53.545662,53.811702,52.27486,
208,HUN,T_GDPPOP,VPVOB,30297.811257,31783.996874,30404.013621,32702.992649,34291.957028
209,HUN,T_POPTOT,PEHRS,9775.564,9771.141,9750.149,9709.891,9683.473
210,,T_GDP,C,14838756000.0,15832657200.0,15443353200.0,16976690800.0,19588445600.0
211,,T_GDP,CPC,3116594.552,3331570.511,3303238.766,3567505.282,3969883.308
212,,T_GDP,PCTUS,15.178424,15.581938,15.684541,15.301278,15.590962
